,value,metric,type
241,20.0,kde,full
242,15.304209134455572,kde,full
243,18.797688376881947,kde,full
244,16.0435448724924,kde,full
245,8.320380556524103,kde,full
246,19.97782952767102,kde,full
247,20.0,kde,full
248,20.0,kde,full
249,17.52831774848238,kde,full
250,14.782817014396752,kde,full
251,17.27322277856961,kde,full
252,17.379926937479432,kde,full
253,20.0,kde,full
254,14.48177633325085,kde,full
255,20.0,kde,full
256,20.0,kde,full
257,20.0,kde,full
258,18.66504679291468,kde,full
259,18.555470778309136,kde,full
260,18.51960099381571,kde,full
261,20.0,kde,full
262,20.0,kde,full
263,15.572747436285823,kde,full
264,18.9410987438933,kde,full
265,15.94855469655836,kde,full
266,14.969581222431401,kde,full
267,20.0,kde,full
268,20.0,kde,full
269,20.0,kde,full
270,8.296034083010756,kde,full
271,18.44020383818848,kde,full
272,16.60018053527478,kde,full
273,17.296154610360166,kde,full
274,20.0,kde,full
275,14.204190483502286,kde,full
276,20.0,kde,full
277,20.0,kde,full
278,20.0,kde,full
279,17.86570783163646,kde,full
280,20.0,kde,full
281,20.0,kde,full
282,20.0,kde,full
283,20.0,kde,full
284,15.909906275804625,kde,full
285,19.11585285908238,kde,full
286,8.28025752272694,kde,full
287,14.94803435997802,kde,full
288,20.0,kde,full
289,20.0,kde,full
290,15.938756334176697,kde,full
291,17.742643594173707,kde,full
292,17.95207909838835,kde,full
293,16.915046354532002,kde,full
294,17.355460684416634,kde,full
295,20.0,kde,full
296,13.812588729176513,kde,full
297,19.99955346169557,kde,full
298,20.0,kde,full
299,20.0,kde,full
300,20.0,kde,full
301,11.249316700989864,kde,full
302,20.0,kde,full
303,20.0,kde,full
304,20.0,kde,full
305,15.823352761123013,kde,full
306,15.23799717730686,kde,full
307,8.290553002073946,kde,full
308,15.125039400964715,kde,full
309,19.834967899371552,kde,full
310,18.80678005443775,kde,full
311,20.0,kde,full
312,17.927748132238104,kde,full
313,18.568965206490784,kde,full
314,16.921296561465446,kde,full
315,17.450748981473534,kde,full
316,20.0,kde,full
317,14.058362915307676,kde,full
318,20.0,kde,full
319,20.0,kde,full
320,20.0,kde,full
321,20.0,kde,full
322,20.0,kde,full
323,20.0,kde,full
324,20.0,kde,full
325,20.0,kde,full
326,20.0,kde,full
327,20.0,kde,full
328,20.0,kde,full
329,20.0,kde,full
330,20.0,kde,full
331,20.0,kde,full
332,20.0,kde,full
333,20.0,kde,full
334,20.0,kde,full
335,20.0,kde,full
336,20.0,kde,full
337,20.0,kde,full
338,20.0,kde,full
339,20.0,kde,full
340,20.0,kde,full
341,20.0,kde,full
342,20.0,kde,full
343,20.0,kde,full
344,20.0,kde,full
345,20.0,kde,full
346,20.0,kde,full
347,20.0,kde,full
348,20.0,kde,full
349,20.0,kde,full
350,20.0,kde,full
351,20.0,kde,full
352,20.0,kde,full
353,20.0,kde,full
354,20.0,kde,full
355,20.0,kde,full
356,20.0,kde,full
357,20.0,kde,full
358,20.0,kde,full
359,20.0,kde,full
360,20.0,kde,full
361,20.0,kde,full
362,20.0,kde,full
363,20.0,kde,full
364,20.0,kde,full
365,20.0,kde,full
366,20.0,kde,full
367,20.0,kde,full
368,20.0,kde,full
369,20.0,kde,full
370,20.0,kde,full
371,20.0,kde,full
372,20.0,kde,full
373,20.0,kde,full
374,20.0,kde,full
375,20.0,kde,full
376,20.0,kde,full
377,20.0,kde,full
378,20.0,kde,full
379,20.0,kde,full
380,20.0,kde,full
381,20.0,kde,full
382,20.0,kde,full
383,20.0,kde,full
384,20.0,kde,full
385,20.0,kde,full
386,20.0,kde,full
387,20.0,kde,full
388,20.0,kde,full
389,20.0,kde,full
390,20.0,kde,full
391,20.0,kde,full
392,20.0,kde,full
393,20.0,kde,full
394,20.0,kde,full
395,20.0,kde,full
396,20.0,kde,full
397,20.0,kde,full
398,20.0,kde,full
399,20.0,kde,full
400,20.0,kde,full
401,20.0,kde,full
402,20.0,kde,full
403,20.0,kde,full
404,20.0,kde,full
405,20.0,kde,full
406,20.0,kde,full
407,20.0,kde,full
408,20.0,kde,full
409,20.0,kde,full
410,20.0,kde,full
411,20.0,kde,full
412,20.0,kde,full
413,20.0,kde,full
414,20.0,kde,full
415,20.0,kde,full
416,20.0,kde,full
417,20.0,kde,full
418,20.0,kde,full
419,20.0,kde,full
420,20.0,kde,full
421,20.0,kde,full
422,20.0,kde,full
423,20.0,kde,full
424,20.0,kde,full
425,20.0,kde,full
426,20.0,kde,full
427,20.0,kde,full
428,20.0,kde,full
429,20.0,kde,full
430,20.0,kde,full
431,20.0,kde,full
432,20.0,kde,full
433,20.0,kde,full
434,20.0,kde,full
435,20.0,kde,full
436,20.0,kde,full
437,20.0,kde,full
438,20.0,kde,full
439,20.0,kde,full
440,20.0,kde,full
441,20.0,kde,full
442,20.0,kde,full
443,20.0,kde,full
444,20.0,kde,full
445,20.0,kde,full
446,20.0,kde,full
447,20.0,kde,full
448,20.0,kde,full
449,20.0,kde,full
450,20.0,kde,full
451,20.0,kde,full
452,20.0,kde,full
453,20.0,kde,full
454,20.0,kde,full
455,20.0,kde,full
456,20.0,kde,full
457,20.0,kde,full
458,20.0,kde,full
459,20.0,kde,full
460,20.0,kde,full
461,20.0,kde,full
462,20.0,kde,full
463,20.0,kde,full
464,20.0,kde,full
465,20.0,kde,full
466,20.0,kde,full
467,20.0,kde,full
468,20.0,kde,full
469,20.0,kde,full
470,20.0,kde,full
471,20.0,kde,full
472,20.0,kde,full
473,20.0,kde,full
474,20.0,kde,full
475,20.0,kde,full
476,20.0,kde,full
477,20.0,kde,full
478,20.0,kde,full
479,20.0,kde,full
480,20.0,kde,full
481,20.0,kde,full
482,20.0,kde,full
483,20.0,kde,full
484,20.0,kde,full
485,20.0,kde,full
486,20.0,kde,full
487,20.0,kde,full
488,20.0,kde,full
489,20.0,kde,full
490,20.0,kde,full
491,20.0,kde,full
492,20.0,kde,full
493,20.0,kde,full
494,20.0,kde,full
495,20.0,kde,full
496,20.0,kde,full
497,20.0,kde,full
498,20.0,kde,full
499,20.0,kde,full
500,20.0,kde,full
501,20.0,kde,full
502,20.0,kde,full
503,20.0,kde,full
504,20.0,kde,full
505,20.0,kde,full
506,20.0,kde,full
507,20.0,kde,full
508,20.0,kde,full
509,20.0,kde,full
510,20.0,kde,full
511,20.0,kde,full
512,20.0,kde,full
513,20.0,kde,full
514,20.0,kde,full
515,20.0,kde,full
516,20.0,kde,full
517,20.0,kde,full
518,20.0,kde,full
519,20.0,kde,full
520,20.0,kde,full
521,20.0,kde,full
522,20.0,kde,full
523,20.0,kde,full
524,20.0,kde,full
525,20.0,kde,full
526,20.0,kde,full
527,20.0,kde,full
528,20.0,kde,full
529,20.0,kde,full
530,20.0,kde,full
531,20.0,kde,full
532,20.0,kde,full
533,20.0,kde,full
534,20.0,kde,full
535,20.0,kde,full
536,20.0,kde,full
537,20.0,kde,full
538,20.0,kde,full
539,20.0,kde,full
540,20.0,kde,full
541,20.0,kde,full
542,20.0,kde,full
543,20.0,kde,full
544,20.0,kde,full
545,20.0,kde,full
546,20.0,kde,full
547,20.0,kde,full
548,20.0,kde,full
549,20.0,kde,full
550,20.0,kde,full
551,20.0,kde,full
552,20.0,kde,full
553,20.0,kde,full
554,20.0,kde,full
555,20.0,kde,full
556,20.0,kde,full
557,20.0,kde,full
558,20.0,kde,full
559,20.0,kde,full
560,20.0,kde,full
561,20.0,kde,full
562,20.0,kde,full
563,20.0,kde,full
564,20.0,kde,full
565,20.0,kde,full
