,value,metric,type
0,110.31520969385126,ade,best_of
1,30.096586409128037,ade,best_of
2,173.78740788951885,ade,best_of
3,71.69887528261991,ade,best_of
4,58.524813720138205,ade,best_of
5,80.12784275596862,ade,best_of
6,52.66126514169182,ade,best_of
7,223.9093385459524,ade,best_of
8,117.04885032421741,ade,best_of
9,127.33024061315542,ade,best_of
10,230.25218697653062,ade,best_of
11,91.0781787322483,ade,best_of
12,115.64387012347754,ade,best_of
13,105.70336771291117,ade,best_of
14,70.96201938335163,ade,best_of
15,76.96587827655429,ade,best_of
16,36.50664460123531,ade,best_of
17,77.39569932304249,ade,best_of
18,50.938410629034756,ade,best_of
19,99.86734288141646,ade,best_of
20,12.187435841077706,ade,best_of
21,8.487461477496325,ade,best_of
22,16.797989104101323,ade,best_of
23,50.415635944709116,ade,best_of
24,6.936727418936381,ade,best_of
25,9.575199575473745,ade,best_of
26,79.95285263548728,ade,best_of
27,14.329626439512175,ade,best_of
28,9.114129370550089,ade,best_of
29,8.927198851999155,ade,best_of
30,66.52926629355046,ade,best_of
31,11.065724712516698,ade,best_of
32,7.8260279703876945,ade,best_of
33,7.924104567730403,ade,best_of
34,6.623207706697701,ade,best_of
35,7.077040764845884,ade,best_of
36,7.6005993882779705,ade,best_of
37,8.51142258936627,ade,best_of
38,11.22940639333509,ade,best_of
39,13.674585972020713,ade,best_of
40,10.475953234740448,ade,best_of
41,12.611797051185633,ade,best_of
42,8.84599266863083,ade,best_of
43,18.043157384743882,ade,best_of
44,49.85075461850875,ade,best_of
45,7.336012922796158,ade,best_of
46,66.04465690980886,ade,best_of
47,80.60276240619145,ade,best_of
48,13.744490147475958,ade,best_of
49,9.558537395564418,ade,best_of
50,8.561077897372563,ade,best_of
51,13.738911424569492,ade,best_of
52,10.058740483106716,ade,best_of
53,7.698052335288534,ade,best_of
54,7.647872740117393,ade,best_of
55,6.663722334646242,ade,best_of
56,6.846353642424842,ade,best_of
57,7.461908350270523,ade,best_of
58,8.06166339439587,ade,best_of
59,9.104202248243416,ade,best_of
60,8.229864405561264,ade,best_of
61,8.549427765548733,ade,best_of
62,12.503346577624853,ade,best_of
63,8.831565114589438,ade,best_of
64,18.557607528546402,ade,best_of
65,50.051634962978575,ade,best_of
66,8.367328597630618,ade,best_of
