,value,metric,type
197,16.12670055192717,kde,z_mode
198,20.0,kde,z_mode
199,20.0,kde,z_mode
200,19.161699133729094,kde,z_mode
201,18.97860431034361,kde,z_mode
202,15.759964205530933,kde,z_mode
203,8.354875620341003,kde,z_mode
204,14.832743244310931,kde,z_mode
205,19.704708215891255,kde,z_mode
206,20.0,kde,z_mode
207,18.0388214242694,kde,z_mode
208,18.574638542802365,kde,z_mode
209,17.288936278610162,kde,z_mode
210,20.0,kde,z_mode
211,20.0,kde,z_mode
212,12.893838272691262,kde,z_mode
213,20.0,kde,z_mode
214,20.0,kde,z_mode
215,20.0,kde,z_mode
216,18.110559254942128,kde,z_mode
217,17.231602477051954,kde,z_mode
218,15.282642829226967,kde,z_mode
219,17.361576769367392,kde,z_mode
220,15.296529004847661,kde,z_mode
221,15.571602315780321,kde,z_mode
222,18.917086671390567,kde,z_mode
223,16.14961394887859,kde,z_mode
224,7.868959446805295,kde,z_mode
225,14.39295435763298,kde,z_mode
226,20.0,kde,z_mode
227,20.0,kde,z_mode
228,18.090896940213597,kde,z_mode
229,18.104829130239267,kde,z_mode
230,19.737472173301125,kde,z_mode
231,17.338379076138338,kde,z_mode
232,20.0,kde,z_mode
233,12.419510919300162,kde,z_mode
234,20.0,kde,z_mode
235,20.0,kde,z_mode
236,20.0,kde,z_mode
237,18.16911129509522,kde,z_mode
238,17.108449976222953,kde,z_mode
239,17.422114320438595,kde,z_mode
240,16.505089005213947,kde,z_mode
241,20.0,kde,z_mode
242,15.754028913827963,kde,z_mode
243,18.89784795785587,kde,z_mode
244,15.36121458889201,kde,z_mode
245,8.319324257000291,kde,z_mode
246,19.854559240802224,kde,z_mode
247,20.0,kde,z_mode
248,20.0,kde,z_mode
249,18.221015582053965,kde,z_mode
250,15.074559860538626,kde,z_mode
251,16.769421451327347,kde,z_mode
252,17.305176828332307,kde,z_mode
253,20.0,kde,z_mode
254,14.704471695417295,kde,z_mode
255,20.0,kde,z_mode
256,20.0,kde,z_mode
257,20.0,kde,z_mode
258,18.558048035376352,kde,z_mode
259,18.53988584357653,kde,z_mode
260,18.352497358550565,kde,z_mode
261,20.0,kde,z_mode
262,20.0,kde,z_mode
263,15.797367020902934,kde,z_mode
264,19.04924063797214,kde,z_mode
265,16.15879863848648,kde,z_mode
266,15.07297568439304,kde,z_mode
267,20.0,kde,z_mode
268,20.0,kde,z_mode
269,20.0,kde,z_mode
270,8.312831441566072,kde,z_mode
271,18.554526333588743,kde,z_mode
272,17.366241446246132,kde,z_mode
273,17.400407185463386,kde,z_mode
274,20.0,kde,z_mode
275,13.402313662601099,kde,z_mode
276,20.0,kde,z_mode
277,20.0,kde,z_mode
278,20.0,kde,z_mode
279,18.10093527002406,kde,z_mode
280,20.0,kde,z_mode
281,20.0,kde,z_mode
282,20.0,kde,z_mode
283,20.0,kde,z_mode
284,16.063744463460186,kde,z_mode
285,18.94050508717632,kde,z_mode
286,8.283831199075241,kde,z_mode
287,14.829218507337245,kde,z_mode
288,20.0,kde,z_mode
289,20.0,kde,z_mode
290,16.104795146805657,kde,z_mode
291,18.463858074386778,kde,z_mode
292,18.57861973076173,kde,z_mode
293,16.690020764672816,kde,z_mode
294,17.348986397929774,kde,z_mode
295,20.0,kde,z_mode
296,14.252918383932606,kde,z_mode
297,20.0,kde,z_mode
298,20.0,kde,z_mode
299,20.0,kde,z_mode
300,20.0,kde,z_mode
301,10.254240001803655,kde,z_mode
302,20.0,kde,z_mode
303,20.0,kde,z_mode
304,20.0,kde,z_mode
305,16.251270506675247,kde,z_mode
306,16.368392205403573,kde,z_mode
307,8.120381240073407,kde,z_mode
308,14.983676319001798,kde,z_mode
309,19.338163573945568,kde,z_mode
310,18.884837858314995,kde,z_mode
311,20.0,kde,z_mode
312,18.131254558452287,kde,z_mode
313,18.556181916775348,kde,z_mode
314,17.34660955525545,kde,z_mode
315,17.509601948233506,kde,z_mode
316,20.0,kde,z_mode
317,13.974548616448708,kde,z_mode
318,20.0,kde,z_mode
319,20.0,kde,z_mode
320,20.0,kde,z_mode
321,20.0,kde,z_mode
322,20.0,kde,z_mode
323,20.0,kde,z_mode
324,20.0,kde,z_mode
325,20.0,kde,z_mode
326,20.0,kde,z_mode
327,20.0,kde,z_mode
328,20.0,kde,z_mode
329,20.0,kde,z_mode
330,20.0,kde,z_mode
331,20.0,kde,z_mode
332,20.0,kde,z_mode
333,20.0,kde,z_mode
334,20.0,kde,z_mode
335,20.0,kde,z_mode
336,20.0,kde,z_mode
337,20.0,kde,z_mode
338,20.0,kde,z_mode
339,20.0,kde,z_mode
340,20.0,kde,z_mode
341,20.0,kde,z_mode
342,20.0,kde,z_mode
343,20.0,kde,z_mode
344,20.0,kde,z_mode
345,20.0,kde,z_mode
346,20.0,kde,z_mode
347,20.0,kde,z_mode
348,20.0,kde,z_mode
349,20.0,kde,z_mode
350,20.0,kde,z_mode
351,20.0,kde,z_mode
352,20.0,kde,z_mode
353,20.0,kde,z_mode
354,20.0,kde,z_mode
355,20.0,kde,z_mode
356,20.0,kde,z_mode
357,20.0,kde,z_mode
358,20.0,kde,z_mode
359,20.0,kde,z_mode
360,20.0,kde,z_mode
361,20.0,kde,z_mode
362,20.0,kde,z_mode
363,20.0,kde,z_mode
364,20.0,kde,z_mode
365,20.0,kde,z_mode
366,20.0,kde,z_mode
367,20.0,kde,z_mode
368,20.0,kde,z_mode
369,20.0,kde,z_mode
370,20.0,kde,z_mode
371,20.0,kde,z_mode
372,20.0,kde,z_mode
373,20.0,kde,z_mode
374,20.0,kde,z_mode
375,20.0,kde,z_mode
376,20.0,kde,z_mode
377,20.0,kde,z_mode
378,20.0,kde,z_mode
379,20.0,kde,z_mode
380,20.0,kde,z_mode
381,20.0,kde,z_mode
382,20.0,kde,z_mode
383,20.0,kde,z_mode
384,20.0,kde,z_mode
385,20.0,kde,z_mode
386,20.0,kde,z_mode
387,20.0,kde,z_mode
388,20.0,kde,z_mode
389,20.0,kde,z_mode
390,20.0,kde,z_mode
391,20.0,kde,z_mode
392,20.0,kde,z_mode
393,20.0,kde,z_mode
394,20.0,kde,z_mode
395,20.0,kde,z_mode
396,20.0,kde,z_mode
397,20.0,kde,z_mode
398,20.0,kde,z_mode
399,20.0,kde,z_mode
400,20.0,kde,z_mode
401,20.0,kde,z_mode
402,20.0,kde,z_mode
403,20.0,kde,z_mode
404,20.0,kde,z_mode
405,20.0,kde,z_mode
406,20.0,kde,z_mode
407,20.0,kde,z_mode
408,20.0,kde,z_mode
409,20.0,kde,z_mode
410,20.0,kde,z_mode
411,20.0,kde,z_mode
412,20.0,kde,z_mode
413,20.0,kde,z_mode
414,20.0,kde,z_mode
415,20.0,kde,z_mode
416,20.0,kde,z_mode
417,20.0,kde,z_mode
418,20.0,kde,z_mode
419,20.0,kde,z_mode
420,20.0,kde,z_mode
421,20.0,kde,z_mode
422,20.0,kde,z_mode
423,20.0,kde,z_mode
424,20.0,kde,z_mode
425,20.0,kde,z_mode
426,20.0,kde,z_mode
427,20.0,kde,z_mode
428,20.0,kde,z_mode
429,20.0,kde,z_mode
430,20.0,kde,z_mode
431,20.0,kde,z_mode
432,20.0,kde,z_mode
433,20.0,kde,z_mode
434,20.0,kde,z_mode
435,20.0,kde,z_mode
436,20.0,kde,z_mode
437,20.0,kde,z_mode
438,20.0,kde,z_mode
439,20.0,kde,z_mode
440,20.0,kde,z_mode
441,20.0,kde,z_mode
442,20.0,kde,z_mode
443,20.0,kde,z_mode
444,20.0,kde,z_mode
445,20.0,kde,z_mode
446,20.0,kde,z_mode
447,20.0,kde,z_mode
448,20.0,kde,z_mode
449,20.0,kde,z_mode
450,20.0,kde,z_mode
451,20.0,kde,z_mode
452,20.0,kde,z_mode
453,20.0,kde,z_mode
454,20.0,kde,z_mode
455,20.0,kde,z_mode
456,20.0,kde,z_mode
457,20.0,kde,z_mode
458,20.0,kde,z_mode
459,20.0,kde,z_mode
460,20.0,kde,z_mode
461,20.0,kde,z_mode
462,20.0,kde,z_mode
463,20.0,kde,z_mode
464,20.0,kde,z_mode
465,20.0,kde,z_mode
466,20.0,kde,z_mode
467,20.0,kde,z_mode
468,20.0,kde,z_mode
469,20.0,kde,z_mode
470,20.0,kde,z_mode
471,20.0,kde,z_mode
472,20.0,kde,z_mode
473,20.0,kde,z_mode
474,20.0,kde,z_mode
475,20.0,kde,z_mode
476,20.0,kde,z_mode
477,20.0,kde,z_mode
478,20.0,kde,z_mode
479,20.0,kde,z_mode
480,20.0,kde,z_mode
481,20.0,kde,z_mode
482,20.0,kde,z_mode
483,20.0,kde,z_mode
484,20.0,kde,z_mode
485,20.0,kde,z_mode
486,20.0,kde,z_mode
487,20.0,kde,z_mode
488,20.0,kde,z_mode
489,20.0,kde,z_mode
490,20.0,kde,z_mode
491,20.0,kde,z_mode
492,20.0,kde,z_mode
493,20.0,kde,z_mode
494,20.0,kde,z_mode
495,20.0,kde,z_mode
496,20.0,kde,z_mode
497,20.0,kde,z_mode
498,20.0,kde,z_mode
499,20.0,kde,z_mode
500,20.0,kde,z_mode
501,20.0,kde,z_mode
502,20.0,kde,z_mode
503,20.0,kde,z_mode
504,20.0,kde,z_mode
505,20.0,kde,z_mode
506,20.0,kde,z_mode
507,20.0,kde,z_mode
508,20.0,kde,z_mode
509,20.0,kde,z_mode
510,20.0,kde,z_mode
511,20.0,kde,z_mode
512,20.0,kde,z_mode
513,20.0,kde,z_mode
514,20.0,kde,z_mode
515,20.0,kde,z_mode
516,20.0,kde,z_mode
517,20.0,kde,z_mode
518,20.0,kde,z_mode
519,20.0,kde,z_mode
520,20.0,kde,z_mode
521,20.0,kde,z_mode
522,20.0,kde,z_mode
523,20.0,kde,z_mode
524,20.0,kde,z_mode
525,20.0,kde,z_mode
526,20.0,kde,z_mode
527,20.0,kde,z_mode
528,20.0,kde,z_mode
529,20.0,kde,z_mode
530,20.0,kde,z_mode
531,20.0,kde,z_mode
532,20.0,kde,z_mode
533,20.0,kde,z_mode
534,20.0,kde,z_mode
535,20.0,kde,z_mode
536,20.0,kde,z_mode
537,20.0,kde,z_mode
538,20.0,kde,z_mode
539,20.0,kde,z_mode
540,20.0,kde,z_mode
541,20.0,kde,z_mode
542,20.0,kde,z_mode
543,20.0,kde,z_mode
544,20.0,kde,z_mode
545,20.0,kde,z_mode
546,20.0,kde,z_mode
547,20.0,kde,z_mode
